No.,Time,Source,Destination,Protocol,Length,Info,source_file,predicted_label
2029,12.002083,192.168.1.192,149.154.167.41,SSL,431,Continuation Data,test_loic.csv,botnet_slowloic
2030,12.076715,149.154.167.41,192.168.1.192,TCP,60,443  >  57723 [ACK] Seq=8159 Ack=732 Win=32768 Len=0,test_loic.csv,botnet_slowloic
2031,12.122465,149.154.167.41,192.168.1.192,SSL,1250,Continuation Data,test_loic.csv,botnet_slowloic
2032,12.14375,192.168.1.192,149.154.167.41,SSL,351,Continuation Data,test_loic.csv,botnet_slowloic
2033,12.218247,149.154.167.41,192.168.1.192,TCP,60,443  >  57723 [ACK] Seq=9355 Ack=1029 Win=32768 Len=0,test_loic.csv,botnet_slowloic
2034,12.359104,DLinkInterna_da:77:72,Broadcast,ARP,60,Who has 192.168.1.106? Tell 192.168.1.1,test_loic.csv,botnet_slowloic
2035,15.205755,192.168.1.192,185.188.41.131,TCP,1506,51205  >  64532 [ACK] Seq=5200 Ack=1861549 Win=2102272 Len=1452 [TCP PDU reassembled in 2036],test_loic.csv,normal
2036,15.205755,192.168.1.192,185.188.41.131,TLSv1.3,560,Application Data,test_loic.csv,normal
2037,15.205846,192.168.1.192,185.188.41.131,TCP,1506,51205  >  64532 [ACK] Seq=7158 Ack=1861549 Win=2102272 Len=1452 [TCP PDU reassembled in 2038],test_loic.csv,normal
2038,15.205846,192.168.1.192,185.188.41.131,TLSv1.3,864,Application Data,test_loic.csv,normal
2039,15.249285,185.188.41.131,192.168.1.192,TCP,60,64532  >  51205 [ACK] Seq=1861549 Ack=7158 Win=83968 Len=0,test_loic.csv,normal
2040,15.249368,185.188.41.131,192.168.1.192,TCP,66,[TCP Dup ACK 2039#1] 64532  >  51205 [ACK] Seq=1861549 Ack=7158 Win=87040 Len=0 SLE=8610 SRE=9420,test_loic.csv,normal
2041,15.249493,185.188.41.131,192.168.1.192,TCP,60,64532  >  51205 [ACK] Seq=1861549 Ack=9420 Win=90112 Len=0,test_loic.csv,normal
2042,15.277365,185.188.41.131,192.168.1.192,TLSv1.3,1247,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data",test_loic.csv,normal
